Tempo;Corrente;Velocidade;Degrau
0.627;27.62;71.12;0
0.628;27.62;71.07;0
0.629;27.61;71.03;0
0.63;27.61;70.98;0
0.631;27.61;70.98;0
0.632;27.6;70.98;0
0.633;27.6;70.98;0
0.634;27.62;70.98;0
0.635;27.63;70.98;0
0.636;27.66;70.98;0
0.637;27.63;70.98;0
0.638;27.63;70.98;0
0.639;27.63;70.98;0
0.64;27.63;70.98;0
0.641;27.63;70.98;0
0.642;27.63;70.98;0
0.643;27.63;70.98;0
0.644;27.62;70.98;0
0.645;27.64;70.98;0
0.646;27.62;70.98;0
0.647;27.63;70.98;0
0.648;27.64;70.98;0
0.649;27.63;70.98;0
0.65;27.61;70.98;0
0.651;27.58;70.98;0
0.652;27.55;70.98;0
0.653;27.55;70.98;0
0.654;27.57;70.98;0
0.655;27.61;70.98;0
0.656;27.62;70.98;0
0.657;27.62;70.98;0
0.658;27.61;70.98;0
0.659;27.58;70.98;0
0.66;27.55;70.98;0
0.661;27.53;70.98;0
0.662;27.54;70.98;0
0.663;27.55;70.98;0
0.664;27.57;70.98;0
0.665;27.53;70.98;0
0.666;27.5;70.98;0
0.667;27.47;70.98;0
0.668;27.46;70.98;0
0.669;27.47;70.98;0
0.67;27.5;70.98;0
0.671;27.51;70.98;0
0.672;27.5;70.98;0
0.673;27.52;70.98;0
0.674;27.52;70.98;0
0.675;27.51;70.98;0
0.676;27.51;70.98;0
0.677;27.54;70.98;0
0.678;27.56;70.98;0
0.679;27.54;70.98;0
0.68;27.52;70.98;0
0.681;27.49;70.98;0
0.682;27.49;70.93;0
0.683;27.51;70.89;0
0.684;27.52;70.84;0
0.685;27.54;70.8;0
0.686;27.52;70.75;0
0.687;27.51;70.7;0
0.6880000000000001;27.46;70.66;0
0.6890000000000001;27.42;70.61;0
0.6900000000000001;27.43;70.61;0
0.6910000000000001;27.45;70.61;0
0.6920000000000001;27.5;70.61;0
0.6930000000000001;27.51;70.61;0
0.6940000000000001;27.49;70.61;0
0.6950000000000001;27.47;70.61;0
0.6960000000000001;27.44;70.61;0
0.6970000000000001;27.44;70.61;0
0.6980000000000001;27.45;70.61;0
0.6990000000000001;27.44;70.61;0
0.7000000000000001;27.45;70.61;0
0.7010000000000001;27.46;70.61;0
0.7020000000000001;27.5;70.61;0
0.7030000000000001;27.5;70.61;0
0.704;27.47;70.61;0
0.705;27.46;70.61;0
0.706;27.46;70.61;0
0.707;27.47;70.61;0
0.708;27.45;70.61;0
0.709;27.43;70.61;0
0.71;27.41;70.61;0
0.711;27.44;70.61;0
0.712;27.46;70.61;0
0.713;27.44;70.61;0
0.714;27.46;70.61;0
0.715;27.46;70.61;0
0.716;27.46;70.61;0
0.717;27.45;70.61;0
0.718;27.42;70.61;0
0.719;27.41;70.61;0
0.72;27.45;70.61;0
0.721;27.46;70.61;0
0.722;27.45;70.61;0
0.723;27.44;70.61;0
0.724;27.43;70.61;0
0.725;27.43;70.61;0
0.726;27.39;70.61;0
0.727;27.39;70.61;0
0.728;27.4;70.61;0
0.729;27.4;70.61;0
0.73;27.4;70.61;0
0.731;27.36;70.61;0
0.732;27.32;70.61;0
0.733;27.3;70.61;0
0.734;27.29;70.61;0
0.735;27.32;70.61;0
0.736;27.31;70.61;0
0.737;27.31;70.61;0
0.738;27.33;70.61;0
0.739;27.37;70.61;0
0.74;27.36;70.61;0
0.741;27.36;70.56;0
0.742;27.36;70.52;0
0.743;27.37;70.47;0
0.744;27.39;70.42;0
0.745;27.41;70.38;0
0.746;27.37;70.33;0
0.747;27.37;70.28;0
0.748;27.36;70.24;0
0.749;27.36;70.24;0
0.75;27.36;70.28;0
0.751;27.34;70.33;0
0.752;27.31;70.38;0
0.753;27.31;70.42;0
0.754;27.32;70.47;0
0.755;27.31;70.52;0
0.756;27.27;70.56;0
0.757;27.27;70.61;0
0.758;27.3;70.61;0
0.759;27.32;70.61;0
0.76;27.34;70.61;0
0.761;27.34;70.61;0
0.762;27.34;70.61;0
0.763;27.33;70.61;0
0.764;27.33;70.61;0
0.765;27.31;70.61;0
0.766;27.29;70.61;0
0.767;27.32;70.56;0
0.768;27.36;70.52;0
0.769;27.36;70.47;0
0.77;27.34;70.42;0
0.771;27.32;70.38;0
0.772;27.33;70.33;0
0.773;27.36;70.28;0
0.774;27.36;70.24;0
0.775;27.33;70.19;0
0.776;27.32;70.19;0
0.777;27.35;70.19;0
0.778;27.35;70.19;0
0.779;27.36;70.19;0
0.78;27.35;70.19;0
